Level,Minimum,Lower_Mid_Zone,Upper_Mid_Zone,Maximum
3,30437,34563,38592,42816
4,34806,39505,44113,48825
5,39860,45048,50330,55621
6,45427,51456,57524,63515
7,51845,58738,65709,72573
8,59126,67087,74854,82816
9,67432,76349,85437,94468
10,77014,87330,97524,107864
11,85260,98699,112252,125728
12,97388,112762,128155,143544
13,111020,128704,146359,163883
14,126796,146845,166990,187038
